date,year,month,value
2019-01-01,2019,1,22
2019-02-01,2019,2,28
2019-03-01,2019,3,34
2019-04-01,2019,4,36
2019-05-01,2019,5,39
2019-06-01,2019,6,40
2019-07-01,2019,7,48
2019-08-01,2019,8,31
2019-09-01,2019,9,47
2019-10-01,2019,10,45
2019-11-01,2019,11,29
2019-12-01,2019,12,35
2020-01-01,2020,1,28
2020-02-01,2020,2,40
2020-03-01,2020,3,27
2020-04-01,2020,4,26
2020-05-01,2020,5,40
2020-06-01,2020,6,49
2020-07-01,2020,7,58
2020-08-01,2020,8,46
2020-09-01,2020,9,46
2020-10-01,2020,10,34
2020-11-01,2020,11,23
2020-12-01,2020,12,13
